serial,name,outlet_name,address_1,address_2,city,state,zip,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
000075,4668358,GREAT MALL GFV BBBEYOND,447  GREAT MALL DR,I/S PENGUIN CLOTHIN,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000004BBE,E7F82FC8513BE02469B6AE00000000004b,E7017261646975736E6574776F726B7307
000076,4681012,WESTFIELD OAKRIDGE LANE,925  BLOSSOM HILL RD,I/S FRNT MULTI,SAN JOSE,CA,951231230,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000004CBE,E7F82FC8513BE02469B6AE00000000004c,E7017261646975736E6574776F726B7307
000077,3929768,SANTA CLARA UNIVERSITY,500  EL CAMINO REAL,BLDG 602 CASA ITALI,SANTA CLARA,CA,950530001,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000004DBE,E7F82FC8513BE02469B6AE00000000004d,E7017261646975736E6574776F726B7307
000078,3741286,VG STARLANE APARTMENT,272  LA PALA DR,I/S OFCE MULTI,SAN JOSE,CA,951272142,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000004EBE,E7F82FC8513BE02469B6AE00000000004e,E7017261646975736E6574776F726B7307
000079,3591758,VG BAY TERRACE,3204 CASA DE CAMPO,O/S LAUNDRY MACHINE,SAN MATEO,CA,944033000,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000004FBE,E7F82FC8513BE02469B6AE00000000004f,E7017261646975736E6574776F726B7307
000080,3929773,SANTA CLARA UNIVERSITY,500  EL CAMINO REAL,BLDG 405 BANNAN HAL,SANTA CLARA,CA,950530001,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000050BE,E7F82FC8513BE02469B6AE000000000050,E7017261646975736E6574776F726B7307
000081,3896163,SANTANA ROW PARK 1ALLEY,355  SANTANA ROW,ALLEY,SAN JOSE,CA,951282049,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000051BE,E7F82FC8513BE02469B6AE000000000051,E7017261646975736E6574776F726B7307
000082,4837973,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,NEAR OLD NAVY STORE,LIVERMORE,CA,945514204,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000052BE,E7F82FC8513BE02469B6AE000000000052,E7017261646975736E6574776F726B7307
000083,4684426,WESTFIELD OAKRIDGE,925  BLOSSOM HILL RD,I/S NORDSTROM RACK,SAN JOSE,CA,951231230,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000053BE,E7F82FC8513BE02469B6AE000000000053,E7017261646975736E6574776F726B7307
000084,1986263,VILLA FLORENCE HOTEL,225  POWELL ST,I/S EMPLOYEE AREA 1,SAN FRANCISCO,CA,941022205,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000054BE,E7F82FC8513BE02469B6AE000000000054,E7017261646975736E6574776F726B7307
000085,1066231,1700 CALIFORNIA FS,1700 CALIFORNIA ST SUITE A,COI LOBBY,SAN FRANCISCO,CA,941094586,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000055BE,E7F82FC8513BE02469B6AE000000000055,E7017261646975736E6574776F726B7307
000086,4808753,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,1 FL PIC I/S CAL PI,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000056BE,E7F82FC8513BE02469B6AE000000000056,E7017261646975736E6574776F726B7307
000087,3896162,SANTANA ROW PARK 1ALLEY,355  SANTANA ROW,ALLEY,SAN JOSE,CA,951282049,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000057BE,E7F82FC8513BE02469B6AE000000000057,E7017261646975736E6574776F726B7307
000088,4442083,PIER 39 GARAGE FS BOI,     PIER 39,BOI 1ST LEVEL GARAG,SAN FRANCISCO,CA,941331007,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000058BE,E7F82FC8513BE02469B6AE000000000058,E7017261646975736E6574776F726B7307
000089,4442077,PIER 39 GARAGE FS BOI,     PIER 39,BOI 1ST FLOOR,SAN FRANCISCO,CA,941331007,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000059BE,E7F82FC8513BE02469B6AE000000000059,E7017261646975736E6574776F726B7307
000090,3929748,SANTA CLARA UNIVERSITY,500  EL CAMINO REAL,BLDG 307 SWIG HALL,SANTA CLARA,CA,950530001,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005ABE,E7F82FC8513BE02469B6AE00000000005a,E7017261646975736E6574776F726B7307
000091,4103337,CALIFORNIAS GREAT AMERICA,2401 AGNEW RD,EE ASSOCIATED SERVI,SANTA CLARA,CA,950541201,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005BBE,E7F82FC8513BE02469B6AE00000000005b,E7017261646975736E6574776F726B7307
000092,1171852,GREAT MALL GFV BBBEYOND,447  GREAT MALL DR,BED BATH BEYOND,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005CBE,E7F82FC8513BE02469B6AE00000000005c,E7017261646975736E6574776F726B7307
000093,3130935,GREAT MALL GFV 4EVER 21,447  GREAT MALL DR,FOREVER 21,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005DBE,E7F82FC8513BE02469B6AE00000000005d,E7017261646975736E6574776F726B7307
000094,8593667,GOLDEN BEAR MOTEL FS COI,1620 SAN PABLO AVE,CANS VENDOR,BERKELEY,CA,947021393,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005EBE,E7F82FC8513BE02469B6AE00000000005e,E7017261646975736E6574776F726B7307
