route,outlet,outlet_name,address_1,address_2,city,state,zip,serial,name,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
404,4103331,CALIFORNIAS GREAT AMERICA,2401 AGNEW RD,EE ASSOCIATED SERVI,SANTA CLARA,CA,950541201,95,4103331−000095,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005FBE,E7F82FC8513BE02469B6AE00000000005f,E7017261646975736E6574776F726B7307
401,8985106,HOLIDAY 0323 INN FS BOI,1300 COLUMBUS AVE,4TH FLR VENDING ARE,SAN FRANCISCO,CA,941331328,96,8985106−000096,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000060BE,E7F82FC8513BE02469B6AE000000000060,E7017261646975736E6574776F726B7307
401,3393332,AMC THEATERS #04340,1000 VAN NESS AVE,I/S FRNT MULTI,SAN FRANCISCO,CA,941096973,97,3393332−000097,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000061BE,E7F82FC8513BE02469B6AE000000000061,E7017261646975736E6574776F726B7307
401,9431583,UNIV OF SAN FRANCISCO,2130 FULTON ST,KENDRICK HALL STL,SAN FRANCISCO,CA,941171080,98,9431583−000098,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000062BE,E7F82FC8513BE02469B6AE000000000062,E7017261646975736E6574776F726B7307
401,8980076,HOLIDAY 0323 INN FS BOI,1300 COLUMBUS AVE,1ST FL LOBBY VEND A,SAN FRANCISCO,CA,941331328,99,8980076−000099,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000063BE,E7F82FC8513BE02469B6AE000000000063,E7017261646975736E6574776F726B7307
401,3918100,VG EAVES WEST VALLEY,700  SARATOGA AVE,O/S NEAR POOL 1 20Z,SAN JOSE,CA,951292405,100,3918100−000100,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000064BE,E7F82FC8513BE02469B6AE000000000064,E7017261646975736E6574776F726B7307
405,2025197,VENDCO COURTYARD APTS,1465 65TH ST,BOI FITNESS CENTER,EMERYVILLE,CA,946081062,101,2025197−000101,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000065BE,E7F82FC8513BE02469B6AE000000000065,E7017261646975736E6574776F726B7307
402,1073005,CASA DE AMIGOS FS COI,1085 TASMAN DR,MAIN CLUB HOUSE RV8,SUNNYVALE,CA,940895001,102,1073005−000102,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000066BE,E7F82FC8513BE02469B6AE000000000066,E7017261646975736E6574776F726B7307
402,1914004,EL DORADO MOBIL PARK FS COI,600  E WEDDELL DR,COI INSIDE,SUNNYVALE,CA,940894732,103,1914004−000103,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000067BE,E7F82FC8513BE02469B6AE000000000067,E7017261646975736E6574776F726B7307
401,3896134,WVF MALL CPK1ST FLOOR #2,2855 STEVENS CREEK BLVD,I/S MALL ENT C PARK,SANTA CLARA,CA,950506709,104,3896134−000104,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000068BE,E7F82FC8513BE02469B6AE000000000068,E7017261646975736E6574776F726B7307
401,3918094,WESTGATE MALL,1600 SARATOGA AVE,FS BOI I/S ANY MOUN,SAN JOSE,CA,951295101,105,3918094−000105,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000069BE,E7F82FC8513BE02469B6AE000000000069,E7017261646975736E6574776F726B7307
401,9996982,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,PRKG B 2 FL ELEVATO,SANTA CLARA,CA,950506709,106,9996982−000106,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006ABE,E7F82FC8513BE02469B6AE00000000006a,E7017261646975736E6574776F726B7307
401,9996985,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,O/S PRKG B 1 FL,SANTA CLARA,CA,950506709,107,9996985−000107,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006BBE,E7F82FC8513BE02469B6AE00000000006b,E7017261646975736E6574776F726B7307
403,1849020,VG ALMADEN APTS,1501 ALMADEN EXPY,BOI O/S OFF 20Z,SAN JOSE,CA,951251259,108,1849020−000108,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006CBE,E7F82FC8513BE02469B6AE00000000006c,E7017261646975736E6574776F726B7307
401,2116158,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,PRKNG C 2 I/S LL CA,SANTA CLARA,CA,950506709,109,2116158−000109,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006DBE,E7F82FC8513BE02469B6AE00000000006d,E7017261646975736E6574776F726B7307
410,4891777,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,RESTROOM BESIDE MIC,LIVERMORE,CA,94551,110,4891777−000110,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006EBE,E7F82FC8513BE02469B6AE00000000006e,E7017261646975736E6574776F726B7307
